Wavelength (Angstroms), Normalized intensity, Element
5871.576, 9874, 
5871.578, 9874, 
5871.58, 9874, 
5871.582, 9874, 
5871.584, 9874, 
5871.586, 9875, 
5871.588, 9875, 
5871.59, 9876, 
5871.592, 9876, 
5871.594, 9876, 
5871.596, 9876, 
5871.598, 9876, 
5871.6, 9876, 
5871.602, 9876, 
5871.604, 9877, 
5871.606, 9877, 
5871.608, 9878, 
5871.61, 9878, 
5871.612, 9878, 
5871.614, 9878, 
5871.616, 9879, 
5871.618, 9880, 
5871.62, 9880, 
5871.622, 9880, 
5871.624, 9881, 
5871.626, 9882, 
5871.628, 9883, 
5871.63, 9883, 
5871.632, 9884, 
5871.634, 9885, 
5871.636, 9887, 
5871.638, 9887, 
5871.64, 9888, 
5871.642, 9889, 
5871.644, 9889, 
5871.646, 9889, 
5871.648, 9890, 
5871.65, 9891, 
5871.652, 9891, 
5871.654, 9891, 
5871.656, 9892, 
5871.658, 9892, 
5871.66, 9892, 
5871.662, 9892, 
5871.664, 9892, 
5871.666, 9893, 
5871.668, 9893, 
5871.67, 9893, 
5871.672, 9893, 
5871.674, 9893, 
5871.676, 9893, 
5871.678, 9894, 
5871.68, 9893, 
5871.682, 9892, 
5871.684, 9893, 
5871.686, 9892, 
5871.688, 9892, 
5871.69, 9892, 
5871.692, 9891, 
5871.694, 9891, 
5871.696, 9891, 
5871.698, 9890, 
5871.7, 9889, 
5871.702, 9889, 
5871.704, 9887, 
5871.706, 9886, 
5871.708, 9885, 
5871.71, 9885, 
5871.712, 9884, 
5871.714, 9883, 
5871.716, 9882, 
5871.718, 9881, 
5871.72, 9880, 
5871.722, 9879, 
5871.724, 9878, 
5871.726, 9877, 
5871.728, 9876, 
5871.73, 9875, 
5871.732, 9874, 
5871.734, 9873, 
5871.736, 9872, 
5871.738, 9870, 
5871.74, 9869, 
5871.742, 9867, 
5871.744, 9865, 
5871.746, 9863, 
5871.748, 9861, 
5871.75, 9860, 
5871.752, 9858, 
5871.754, 9856, 
5871.756, 9854, 
5871.758, 9852, 
5871.76, 9850, 
5871.762, 9848, 
5871.764, 9846, 
5871.766, 9845, 
5871.768, 9843, 
5871.77, 9842, 
5871.772, 9840, 
5871.774, 9840, 
5871.776, 9839, 
5871.778, 9839, 
5871.78, 9839, 
5871.782, 9839, 
5871.784, 9840, 
5871.786, 9840, 
5871.788, 9841, 
5871.79, 9842, 
5871.792, 9844, 
5871.794, 9844, 
5871.796, 9845, 
5871.798, 9847, 
5871.8, 9849, 
