wavelength,intensity,element
6558.376,0.8655,Hydrogen
6558.378,0.8654,Hydrogen
6558.38,0.8654,Hydrogen
6558.382,0.8653,Hydrogen
6558.384,0.8653,Hydrogen
6558.386,0.8653,Hydrogen
6558.388,0.8652,Hydrogen
6558.39,0.8652,Hydrogen
6558.392,0.8652,Hydrogen
6558.394,0.8652,Hydrogen
6558.396,0.8651,Hydrogen
6558.398,0.8651,Hydrogen
6558.4,0.865,Hydrogen
6558.402,0.865,Hydrogen
6558.404,0.8649,Hydrogen
6558.406,0.8648,Hydrogen
6558.408,0.8648,Hydrogen
6558.41,0.8647,Hydrogen
6558.412,0.8646,Hydrogen
6558.414,0.8645,Hydrogen
6558.416,0.8643,Hydrogen
6558.418,0.8642,Hydrogen
6558.42,0.864,Hydrogen
6558.422,0.8639,Hydrogen
6558.424,0.8638,Hydrogen
6558.426,0.8636,Hydrogen
6558.428,0.8634,Hydrogen
6558.43,0.8632,Hydrogen
6558.432,0.863,Hydrogen
6558.434,0.8629,Hydrogen
6558.436,0.8627,Hydrogen
6558.438,0.8625,Hydrogen
6558.44,0.8623,Hydrogen
6558.442,0.8622,Hydrogen
6558.444,0.862,Hydrogen
6558.446,0.8619,Hydrogen
6558.448,0.8618,Hydrogen
6558.45,0.8616,Hydrogen
6558.452,0.8615,Hydrogen
6558.454,0.8614,Hydrogen
6558.456,0.8613,Hydrogen
6558.458,0.8612,Hydrogen
6558.46,0.8611,Hydrogen
6558.462,0.861,Hydrogen
6558.464,0.8608,Hydrogen
6558.466,0.8607,Hydrogen
6558.468,0.8606,Hydrogen
6558.47,0.8605,Hydrogen
6558.472,0.8604,Hydrogen
6558.474,0.8603,Hydrogen
6558.476,0.8601,Hydrogen
6558.478,0.86,Hydrogen
6558.48,0.8598,Hydrogen
6558.482,0.8597,Hydrogen
6558.484,0.8595,Hydrogen
6558.486,0.8594,Hydrogen
6558.488,0.8592,Hydrogen
6558.49,0.859,Hydrogen
6558.492,0.8589,Hydrogen
6558.494,0.8587,Hydrogen
6558.496,0.8586,Hydrogen
6558.498,0.8584,Hydrogen
6558.5,0.8583,Hydrogen
6558.502,0.8582,Hydrogen
6558.504,0.858,Hydrogen
6558.506,0.8579,Hydrogen
6558.508,0.8578,Hydrogen
6558.51,0.8577,Hydrogen
6558.512,0.8576,Hydrogen
6558.514,0.8576,Hydrogen
6558.516,0.8575,Hydrogen
6558.518,0.8574,Hydrogen
6558.52,0.8574,Hydrogen
6558.522,0.8573,Hydrogen
6558.524,0.8574,Hydrogen
6558.526,0.8574,Hydrogen
6558.528,0.8573,Hydrogen
6558.53,0.8573,Hydrogen
6558.532,0.8573,Hydrogen
6558.534,0.8574,Hydrogen
6558.536,0.8573,Hydrogen
6558.538,0.8573,Hydrogen
6558.54,0.8573,Hydrogen
6558.542,0.8573,Hydrogen
6558.544,0.8573,Hydrogen
6558.546,0.8574,Hydrogen
6558.548,0.8574,Hydrogen
6558.55,0.8574,Hydrogen
6558.552,0.8575,Hydrogen
6558.554,0.8575,Hydrogen
6558.556,0.8575,Hydrogen
6558.558,0.8576,Hydrogen
6558.56,0.8576,Hydrogen
6558.562,0.8575,Hydrogen
6558.564,0.8576,Hydrogen
6558.566,0.8576,Hydrogen
6558.568,0.8576,Hydrogen
6558.57,0.8577,Hydrogen
6558.572,0.8577,Hydrogen
6558.574,0.8577,Hydrogen
6558.576,0.8578,Hydrogen
6558.578,0.8578,Hydrogen
6558.58,0.8578,Hydrogen
6558.582,0.8578,Hydrogen
6558.584,0.8578,Hydrogen
6558.586,0.8578,Hydrogen
6558.588,0.8578,Hydrogen
6558.59,0.8578,Hydrogen
6558.592,0.8578,Hydrogen
6558.594,0.8578,Hydrogen
6558.596,0.8578,Hydrogen
6558.598,0.8578,Hydrogen
6558.6,0.8577,Hydrogen
6558.602,0.8577,Hydrogen
6558.604,0.8576,Hydrogen
6558.606,0.8575,Hydrogen
6558.608,0.8574,Hydrogen
6558.61,0.8573,Hydrogen
6558.612,0.8572,Hydrogen
6558.614,0.8571,Hydrogen
6558.616,0.857,Hydrogen
6558.618,0.8569,Hydrogen
6558.62,0.8568,Hydrogen
6558.622,0.8566,Hydrogen
6558.624,0.8565,Hydrogen
6558.626,0.8565,Hydrogen
6558.628,0.8564,Hydrogen
6558.63,0.8563,Hydrogen
6558.632,0.8563,Hydrogen
6558.634,0.8563,Hydrogen
6558.636,0.8563,Hydrogen
6558.638,0.8563,Hydrogen
6558.64,0.8563,Hydrogen
6558.642,0.8564,Hydrogen
6558.644,0.8564,Hydrogen
6558.646,0.8564,Hydrogen
6558.648,0.8565,Hydrogen
6558.65,0.8566,Hydrogen
6558.652,0.8567,Hydrogen
6558.654,0.8568,Hydrogen
6558.656,0.8569,Hydrogen
6558.658,0.857,Hydrogen
6558.66,0.857,Hydrogen
6558.662,0.857,Hydrogen
6558.664,0.857,Hydrogen
6558.666,0.857,Hydrogen
6558.668,0.8571,Hydrogen
6558.67,0.8571,Hydrogen
6558.672,0.8571,Hydrogen
6558.674,0.8571,Hydrogen
6558.676,0.8571,Hydrogen
6558.678,0.8571,Hydrogen
6558.68,0.8572,Hydrogen
6558.682,0.8572,Hydrogen
6558.684,0.8572,Hydrogen
6558.686,0.8572,Hydrogen
6558.688,0.8572,Hydrogen
6558.69,0.8571,Hydrogen
6558.692,0.8571,Hydrogen
6558.694,0.8571,Hydrogen
6558.696,0.8572,Hydrogen
6558.698,0.8572,Hydrogen
6558.7,0.8572,Hydrogen
6558.702,0.8572,Hydrogen
6558.704,0.8573,Hydrogen
6558.706,0.8573,Hydrogen
6558.708,0.8573,Hydrogen
6558.71,0.8574,Hydrogen
6558.712,0.8574,Hydrogen
6558.714,0.8574,Hydrogen
6558.716,0.8573,Hydrogen
6558.718,0.8573,Hydrogen
6558.72,0.8573,Hydrogen
6558.722,0.8574,Hydrogen
6558.724,0.8574,Hydrogen
6558.726,0.8574,Hydrogen
6558.728,0.8574,Hydrogen
6558.73,0.8574,Hydrogen
6558.732,0.8574,Hydrogen
6558.734,0.8574,Hydrogen
6558.736,0.8574,Hydrogen
6558.738,0.8573,Hydrogen
