Wavelength (Angstroms), Normalized intensity, Element
3964.576, 3539, 
3964.578, 3591, 
3964.58, 3643, 
3964.582, 3692, 
3964.584, 3739, 
3964.586, 3784, 
3964.588, 3827, 
3964.59, 3867, 
3964.592, 3905, 
3964.594, 3940, 
3964.596, 3973, 
3964.598, 4004, 
3964.6, 4033, 
3964.602, 4060, 
3964.604, 4085, 
3964.606, 4108, 
3964.608, 4130, 
3964.61, 4149, 
3964.612, 4165, 
3964.614, 4179, 
3964.616, 4192, 
3964.618, 4205, 
3964.62, 4216, 
3964.622, 4225, 
3964.624, 4234, 
3964.626, 4242, 
3964.628, 4249, 
3964.63, 4255, 
3964.632, 4260, 
3964.634, 4264, 
3964.636, 4268, 
3964.638, 4271, 
3964.64, 4274, 
3964.642, 4275, 
3964.644, 4276, 
3964.646, 4277, 
3964.648, 4277, 
3964.65, 4277, 
3964.652, 4277, 
3964.654, 4276, 
3964.656, 4274, 
3964.658, 4273, 
3964.66, 4271, 
3964.662, 4269, 
3964.664, 4266, 
3964.666, 4264, 
3964.668, 4261, 
3964.67, 4258, 
3964.672, 4255, 
3964.674, 4253, 
3964.676, 4249, 
3964.678, 4247, 
3964.68, 4244, 
3964.682, 4241, 
3964.684, 4238, 
3964.686, 4235, 
3964.688, 4233, 
3964.69, 4230, 
3964.692, 4227, 
3964.694, 4225, 
3964.696, 4222, 
3964.698, 4219, 
3964.7, 4216, 
3964.702, 4213, 
3964.704, 4210, 
3964.706, 4206, 
3964.708, 4203, 
3964.71, 4200, 
3964.712, 4196, 
3964.714, 4193, 
3964.716, 4189, 
3964.718, 4186, 
3964.72, 4182, 
3964.722, 4177, 
3964.724, 4174, 
3964.726, 4170, 
3964.728, 4167, 
3964.73, 4163, 
3964.732, 4161, 
3964.734, 4157, 
3964.736, 4155, 
3964.738, 4152, 
3964.74, 4149, 
3964.742, 4148, 
3964.744, 4145, 
3964.746, 4144, 
3964.748, 4143, 
3964.75, 4142, 
3964.752, 4141, 
3964.754, 4140, 
3964.756, 4138, 
3964.758, 4138, 
3964.76, 4137, 
3964.762, 4136, 
3964.764, 4136, 
3964.766, 4135, 
3964.768, 4134, 
3964.77, 4132, 
3964.772, 4131, 
3964.774, 4129, 
3964.776, 4127, 
3964.778, 4126, 
3964.78, 4124, 
3964.782, 4123, 
3964.784, 4120, 
3964.786, 4118, 
3964.788, 4117, 
3964.79, 4115, 
3964.792, 4113, 
3964.794, 4112, 
3964.796, 4109, 
3964.798, 4108, 
3964.8, 4106, 
3964.802, 4105, 
3964.804, 4102, 
3964.806, 4101, 
3964.808, 4099, 
3964.81, 4097, 
3964.812, 4094, 
3964.814, 4092, 
3964.816, 4090, 
3964.818, 4088, 
3964.82, 4087, 
3964.822, 4085, 
3964.824, 4082, 
3964.826, 4080, 
3964.828, 4078, 
3964.83, 4077, 
3964.832, 4075, 
3964.834, 4072, 
3964.836, 4069, 
3964.838, 4067, 
3964.84, 4064, 
3964.842, 4061, 
3964.844, 4058, 
3964.846, 4055, 
3964.848, 4052, 
3964.85, 4050, 
3964.852, 4047, 
3964.854, 4045, 
3964.856, 4042, 
3964.858, 4040, 
3964.86, 4038, 
3964.862, 4035, 
3964.864, 4033, 
3964.866, 4030, 
3964.868, 4028, 
3964.87, 4025, 
3964.872, 4022, 
3964.874, 4019, 
3964.876, 4015, 
3964.878, 4011, 
3964.88, 4007, 
3964.882, 4003, 
3964.884, 3998, 
3964.886, 3993, 
3964.888, 3989, 
3964.89, 3983, 
3964.892, 3978, 
