Wavelength (Angstroms), Normalized intensity, Element
6168.576, 9797, 
6168.578, 9797, 
6168.58, 9797, 
6168.582, 9797, 
6168.584, 9796, 
6168.586, 9796, 
6168.588, 9796, 
6168.59, 9796, 
6168.592, 9796, 
6168.594, 9795, 
6168.596, 9795, 
6168.598, 9795, 
6168.6, 9794, 
6168.602, 9794, 
6168.604, 9793, 
6168.606, 9793, 
6168.608, 9793, 
6168.61, 9794, 
6168.612, 9793, 
6168.614, 9792, 
6168.616, 9792, 
6168.618, 9792, 
6168.62, 9791, 
6168.622, 9791, 
6168.624, 9790, 
6168.626, 9790, 
6168.628, 9789, 
6168.63, 9788, 
6168.632, 9788, 
6168.634, 9787, 
6168.636, 9786, 
6168.638, 9786, 
6168.64, 9785, 
6168.642, 9783, 
6168.644, 9783, 
6168.646, 9782, 
6168.648, 9781, 
6168.65, 9781, 
6168.652, 9780, 
6168.654, 9779, 
6168.656, 9778, 
6168.658, 9778, 
6168.66, 9777, 
6168.662, 9775, 
6168.664, 9774, 
6168.666, 9773, 
6168.668, 9772, 
6168.67, 9771, 
6168.672, 9770, 
6168.674, 9768, 
6168.676, 9767, 
6168.678, 9766, 
6168.68, 9765, 
6168.682, 9763, 
6168.684, 9763, 
6168.686, 9762, 
6168.688, 9760, 
6168.69, 9759, 
6168.692, 9758, 
6168.694, 9757, 
6168.696, 9755, 
6168.698, 9754, 
6168.7, 9753, 
6168.702, 9752, 
6168.704, 9750, 
6168.706, 9749, 
6168.708, 9748, 
6168.71, 9747, 
6168.712, 9746, 
6168.714, 9745, 
6168.716, 9744, 
6168.718, 9743, 
6168.72, 9742, 
6168.722, 9741, 
6168.724, 9740, 
6168.726, 9738, 
6168.728, 9737, 
6168.73, 9736, 
6168.732, 9734, 
6168.734, 9732, 
6168.736, 9730, 
6168.738, 9728, 
6168.74, 9726, 
6168.742, 9724, 
6168.744, 9722, 
6168.746, 9720, 
6168.748, 9718, 
6168.75, 9716, 
6168.752, 9714, 
6168.754, 9712, 
6168.756, 9709, 
6168.758, 9708, 
6168.76, 9706, 
6168.762, 9704, 
6168.764, 9701, 
6168.766, 9699, 
6168.768, 9698, 
6168.77, 9696, 
6168.772, 9693, 
6168.774, 9692, 
6168.776, 9690, 
6168.778, 9688, 
6168.78, 9686, 
6168.782, 9685, 
6168.784, 9684, 
6168.786, 9682, 
6168.788, 9680, 
6168.79, 9679, 
6168.792, 9677, 
6168.794, 9675, 
6168.796, 9673, 
6168.798, 9673, 
6168.8, 9671, 
6168.802, 9668, 
6168.804, 9667, 
6168.806, 9664, 
6168.808, 9662, 
6168.81, 9660, 
6168.812, 9657, 
6168.814, 9654, 
6168.816, 9652, 
6168.818, 9649, 
6168.82, 9646, 
6168.822, 9642, 
6168.824, 9639, 
6168.826, 9635, 
6168.828, 9633, 
6168.83, 9628, 
6168.832, 9625, 
6168.834, 9621, 
6168.836, 9618, 
6168.838, 9613, 
6168.84, 9609, 
6168.842, 9604, 
6168.844, 9600, 
6168.846, 9594, 
6168.848, 9590, 
6168.85, 9585, 
6168.852, 9579, 
6168.854, 9573, 
6168.856, 9567, 
6168.858, 9560, 
6168.86, 9554, 
6168.862, 9547, 
6168.864, 9540, 
6168.866, 9532, 
6168.868, 9524, 
6168.87, 9515, 
6168.872, 9506, 
6168.874, 9497, 
6168.876, 9487, 
6168.878, 9476, 
6168.88, 9465, 
6168.882, 9454, 
6168.884, 9442, 
6168.886, 9429, 
6168.888, 9416, 
6168.89, 9401, 
6168.892, 9386, 
6168.894, 9370, 
6168.896, 9352, 
6168.898, 9333, 
6168.9, 9312, 
6168.902, 9291, 
6168.904, 9272, 
6168.906, 9248, 
6168.908, 9221, 
6168.91, 9193, 
6168.912, 9164, 
6168.914, 9133, 
6168.916, 9098, 
6168.918, 9061, 
6168.92, 9020, 
6168.922, 8978, 
6168.924, 8932, 
6168.926, 8885, 
6168.928, 8835, 
6168.93, 8781, 
6168.932, 8724, 
6168.934, 8662, 
6168.936, 8597, 
6168.938, 8530, 
6168.94, 8459, 
6168.942, 8385, 
6168.944, 8307, 
6168.946, 8224, 
6168.948, 8138, 
6168.95, 8046, 
6168.952, 7950, 
6168.954, 7844, 
6168.956, 7736, 
6168.958, 7626, 
6168.96, 7516, 
6168.962, 7397, 
6168.964, 7275, 
6168.966, 7149, 
6168.968, 7025, 
6168.97, 6904, 
6168.972, 6779, 
6168.974, 6642, 
